Year,Month,Position,Ratings,Change
2015,7,11,,
2015,8,10,,
2015,9,9,,
2015,10,9,,
2015,11,10,,
2015,12,9,,
2016,1,11,,
2016,2,8,,
2016,3,9,,
2016,4,8,,
2016,5,9,,
2016,6,8,,
2016,7,9,0.02428,0.0062
2016,8,9,0.02511,0.0039
2016,9,10,0.02333,0.0043
2016,10,9,0.02495,0.0025
2016,11,10,0.02361,0.0033
2016,12,10,0.02338,0.0013
2017,1,8,0.0275,0.0091
2017,2,10,0.02171,-0.0008
2017,3,11,0.02261,0.0001
2017,4,10,0.02413,-0.0011
2017,5,10,0.02602,0.0028
2017,6,9,0.02309,-0.0009
2017,7,11,0.02334,-0.0009
2017,8,9,0.01995,-0.0052
2017,9,9,0.01952,-0.0038
2017,10,12,0.01963,-0.0053
2017,11,15,0.01562,-0.008
2017,12,14,0.01437,-0.009
2018,1,10,0.02419,-0.0003
2018,2,17,0.01759,-0.0041
2018,3,11,0.02233,-0.0003
2018,4,16,0.01527,-0.0089
2018,5,18,0.00909,-0.0169
2018,6,14,0.01147,-0.0116
2018,7,17,0.01101,-0.0123
2018,8,16,0.01175,-0.0082
2018,9,17,0.01073,-0.0088
2018,10,17,0.01168,-0.008
2018,11,18,0.01001,-0.0056
2018,12,18,0.01013,-0.0042
2019,1,13,0.01225,-0.0119
2019,2,13,0.01102,-0.0066
2019,3,13,0.01302,-0.0093
2019,4,14,0.01269,-0.0026
2019,5,13,0.01394,0.0048
2019,6,16,0.01173,0.0003
2019,7,19,0.00918,-0.0018
2019,8,19,0.0086,-0.0031
2019,9,20,0.01049,-0.0002
2019,10,19,0.01023,-0.0014
2019,11,21,0.00831,
2019,12,20,0.00899,-0.0011
2020,1,19,0.00746,-0.0048
2020,2,19,0.00697,-0.004
2020,3,17,0.0091,-0.004
2020,4,16,0.0097,-0.003
2020,5,18,0.0088,-0.0051
2020,6,16,0.0082,-0.0036
2020,7,14,0.0087,-0.0004
2020,8,13,0.0111,0.0025
2020,9,13,0.013,0.0026
2020,10,11,0.0143,0.004
2020,11,12,0.0151,0.0068
2020,12,14,0.012,0.003
2021,1,17,0.0102,0.0027
2021,2,19,0.0093,0.0023
2021,3,17,0.0115,0.0024
2021,4,18,0.0099,0.0003
2021,5,19,0.0104,0.0051
2021,6,15,0.0118,0.0036
2021,7,18,0.009,0.0003
2021,8,20,0.0078,-0.0033
2021,9,19,0.0078,-0.0053
2021,10,19,0.0093,-0.0049
2021,11,16,0.0122,-0.0029
2021,12,18,0.0096,-0.0024
2022,1,20,0.0071,-0.0031
2022,2,19,0.0079,-0.0076
2022,3,19,0.0057,-0.0058
2022,4,18,0.0079,-0.0021
2022,5,17,0.0099,-0.0005
2022,6,17,0.0076,-0.0041
2022,7,17,0.0078,-0.0012
2022,8,20,0.0072,-0.0006
2022,9,19,0.0072,-0.0006
2022,10,22,0.0069,
2022,11,23,0.0057,
2022,12,18,0.0078,-0.0018
2023,1,19,0.0059,-0.0012
2023,2,17,0.0079,-0.0001
2023,3,24,0.0058,
2023,4,25,0.0044,
2023,5,24,0.006,
2023,6,25,0.0063,
2023,7,27,0.0065,
2023,8,28,0.0068,
2023,9,26,0.0073,
2023,10,27,0.0064,
2023,11,29,0.0059,
2023,12,29,0.0055,
2024,1,30,0.0052,
2024,2,26,0.0063,
2024,3,29,0.0058,
2024,4,23,0.0076,
2024,5,30,0.0058,
2024,6,27,0.0069,
2024,7,30,0.0066,
2024,8,25,0.0091,
2024,9,27,0.0071,
2024,10,29,0.0056,
2024,11,27,0.0068,
2024,12,26,0.0064,
2025,1,32,0.0049,
2025,2,30,0.0049,
2025,3,24,0.007,
2025,4,19,0.0091,0.0015
2025,5,16,0.012,0.0063
2025,6,13,0.0147,0.0077
2025,7,11,0.0176,0.011
2025,8,9,0.0208,0.0117
2025,9,10,0.0203,0.0133
2025,10,12,0.0166,0.011
2025,11,9,0.0184,0.0116
2025,12,9,0.0197,0.0091
2026,1,11,0.0163,0.0114
